SKU,date,Number of products sold,Revenue generated,Price,Stock levels,Lead times,Order quantities,Shipping times,Shipping costs,Production volumes,Manufacturing costs,Defect rates,Costs,Product type,Availability,Customer demographics,Shipping carriers,Supplier name,Location,Transportation modes,Routes
SKU_001,2022-01-02,21,-2.9475190670619384,-0.6905904687411307,2.3593891762724035,-1.4389901919576293,-2.6509576009033142,0.9748276126941168,-1.1767305303042408,1.6634843860247637,3.3038507983276406,-3.143542358619024,-0.3639529028325901,1.241972516457306,-0.9318408673884351,0.01649796675088918,-1.1333998854160419,1.187720145749361,0.48652825945308725,-1.1561725788020396,-1.142695940496371
SKU_001,2022-01-09,78,0.8675667049464671,0.630587858512946,-0.405358219997412,-0.8470065032196733,-0.7801692882307486,-0.32301980065603914,1.8015657044130184,0.2385270266693703,-2.602237896928727,-1.616511198150114,-0.5359179292749636,1.241972516457306,1.0731446054760256,-1.2208495395658014,0.07602072402180765,-0.039746540310510135,1.3796308336239642,1.3112689003486546,0.03823982478039039
SKU_001,2022-01-16,73,1.3464555432183034,1.4133508047690022,-0.8747785020107643,-0.15635886635872417,0.3069104069708773,1.8400592215942204,0.5276521873582223,-0.5700348720595887,0.42691323556677235,-0.4777513814375519,-0.38653728326630393,-1.1909960325728643,-0.9318408673884351,1.2538454730675797,-1.1333998854160419,-1.2672132263703813,0.48652825945308725,1.3112689003486546,1.2191755900571517
SKU_001,2022-01-23,78,1.1635669779764837,1.1058176747341888,1.106451217663236,-0.6496786069736873,-0.23662944062993566,-1.7650724821562127,-0.9255040015018988,-0.7149908703514578,0.4694169958709568,0.30514599255233404,-0.4849219357768579,1.241972516457306,1.0731446054760256,-1.2208495395658014,0.07602072402180765,1.187720145749361,-1.2996768888886667,0.0775481607733075,0.03823982478039039
SKU_001,2022-01-30,66,0.8642444097080509,1.1001554819030992,-0.2949063889354472,0.9289445629941964,-0.22398897905782372,0.25380127194402996,0.5916059726583616,0.05633462514656233,0.7696684815357772,0.09544133880504373,-0.11174780802333556,1.241972516457306,-0.9318408673884351,-1.2208495395658014,0.07602072402180765,1.187720145749361,0.48652825945308725,-1.1561725788020396,-1.142695940496371
SKU_001,2022-02-06,69,1.125086790977261,1.6947984096217836,0.09857825922280353,-0.45235071072770194,0.2942699453987654,-1.1882514095561432,0.8419721366360372,1.0377798245905945,1.0896114714573442,0.6482990623206291,0.16700356877011951,1.241972516457306,1.0731446054760256,0.01649796675088918,0.07602072402180765,1.187720145749361,-0.4065743147177897,-1.1561725788020396,1.2191755900571517
SKU_001,2022-02-13,67,-2.6877220725029267,-3.3383557850580856,-0.0049703323977886215,-0.9456704513426657,0.19314625282186992,-0.46722506880605685,0.8488550552333619,-0.585993330587134,-0.8784840522036125,0.36869285732424056,0.39574557346325406,1.241972516457306,-0.9318408673884351,0.01649796675088918,1.285441333459657,1.187720145749361,0.48652825945308725,0.0775481607733075,-1.142695940496371
SKU_001,2022-02-20,68,-0.28357071883476087,-0.29826529680792113,-1.1854242768725416,-0.35368676260470955,0.4459554842641085,-0.32301980065603914,-0.8724481706475227,-0.5806738444112852,-0.09029643092685104,1.4388220600831438,-0.2651674353791854,-1.1909960325728643,-0.9318408673884351,0.01649796675088918,-1.1333998854160419,1.187720145749361,1.3796308336239642,1.3112689003486546,1.2191755900571517
SKU_001,2022-02-27,61,-1.1455472526175012,-0.5393451288898056,-0.4536808960870217,-0.15635886635872417,-0.5147195952163981,-0.32301980065603914,-0.32525614216023047,0.5151403078134873,0.6754305683070585,0.4258850356189572,0.9244975628802854,1.241972516457306,1.0731446054760256,-1.2208495395658014,-1.1333998854160419,-0.039746540310510135,0.48652825945308725,1.3112689003486546,0.03823982478039039
SKU_001,2022-03-06,82,1.8316837969646151,1.251119120618549,1.0029026260426437,-0.7483425550966802,0.23106763753820572,0.3980065400940477,-0.5541131855212671,1.2266215838332126,-1.6737922620732153,-0.7433772761841205,-0.7657852989999505,0.02548824194222082,1.0731446054760256,-1.2208495395658014,0.07602072402180765,-0.039746540310510135,-1.2996768888886667,0.0775481607733075,1.2191755900571517
